ran_lats,ran_lngs,City Name,Country,Lat,Lng,temp,max_temp,clouds,humidity,wind_speed
-89.13527313834626,68.341537152093,Taolanaro,MG,-25.0225309,46.9853688,,,,,
42.81958512333571,-119.71387856369816,Bend,US,44.0581728,-121.3153096,41.92,42.8,1,44,6.93
-63.18590049326916,57.90826312702097,Taolanaro,MG,-25.0225309,46.9853688,,,,,
-27.07505771857899,-39.693330676301855,Arraial Do Cabo,BR,-22.9657374,-42.02798689999999,83.28,84.2,40,70,27.51
-39.594606690156766,112.66628529508597,Busselton,AU,-33.6554927,115.3500188,61.12,61.12,76,100,10.87
-13.706506350360627,-55.04253689818931,Diamantino,BR,-14.4040989,-56.4370932,82.58,82.58,92,78,8.3
5.5286290406622385,-126.57515547348464,Atuona,PF,-9.803279999999999,-139.0425741,79.25,79.25,80,100,15.68
-28.973813716396144,78.06399932517189,Bambous Virieux,MU,-20.3438619,57.7636821,77,77,75,83,5.82
-66.44617078230853,153.37841017612368,Hobart,AU,41.5322592,-87.2550353,59,59,0,77,6.93
57.14546799400807,-69.9333486919834,Iqaluit,CA,63.74669300000001,-68.5169669,12.2,12.2,75,66,12.75
-72.74670403985033,66.79272889261131,Taolanaro,MG,-25.0225309,46.9853688,,,,,
-25.45330885752476,-98.32168702909561,Pisco,PE,-13.7134562,-76.1841701,68,68,0,77,11.41
11.974172723466154,-127.32295318102354,Constitucion,MX,-33.6022037,-61.0471355,,,,,
8.088276029329904,-16.133948287683353,Conakry,GN,9.641185499999999,-13.5784012,82.4,82.4,75,74,6.96
87.51091526713685,173.16923241600136,Pevek,RU,69.692947,170.399612,25.57,25.57,88,86,15.46
27.72669503571572,-141.08351055615503,Hilo,US,19.7070942,-155.0884869,73.4,73.4,1,69,4.61
-81.00911237127042,-160.3347019304327,Mataura,PF,-46.1934288,168.8660155,,,,,
-0.21485210427719892,-156.686860161212,Faanui,PF,-16.5004126,-151.7414904,78.22,78.22,80,100,18.7
-39.79224891296509,100.10442449358231,Busselton,AU,-33.6554927,115.3500188,61.12,61.12,76,100,10.87
45.84580957210218,-93.76944693102446,Sauk Rapids,US,45.5919097,-94.16610109999999,30.4,33.8,1,55,13.87
-30.1865507793037,24.689792888488938,Colesberg,ZA,-30.6913265,25.0703229,60.08,60.08,0,21,5.95
87.22425856687931,-51.70536603301562,Upernavik,GL,72.7862882,-56.1375527,8.65,8.65,0,100,13.78
-71.72384499547937,121.55958572480563,Albany,AU,42.6525793,-73.7562317,60.71,60.71,68,91,4.16
43.60214678246308,-137.96470928679517,Port Hardy,CA,50.7123867,-127.460393,44.6,44.6,90,87,20.8
37.599986391426896,-167.4309524989846,Kapaa,US,22.0881391,-159.3379818,74.5,77,1,78,4.7
88.56968487327197,-102.72686129729992,Yellowknife,CA,62.4539717,-114.3717887,-7.61,-7.61,75,76,10.29
-61.32529350323779,-82.11508119990506,Punta Arenas,CL,-53.1638329,-70.9170683,41.32,41.32,36,99,36.04
57.98532119198978,-150.63818787468594,Kodiak,US,57.79000000000001,-152.4072221,30.2,30.2,1,74,6.93
55.22083380326811,144.54373179039226,Okha,RU,22.4649185,69.0701995,22.19,22.19,76,99,24.63
19.85683517097378,107.8304426330809,Cam Pha,VN,21.0694762,107.3139304,,,,,
-70.31351388413557,-17.859422978262984,Chuy,UY,30.2177297,-97.84151179999999,61.57,61.57,64,80,22.84
53.05169548771377,36.66189155500655,Mtsensk,RU,53.2889377,36.5801449,33.22,33.22,92,97,8.86
-24.53383922987385,15.379820537204296,Maltahohe,NA,-24.8380587,16.9801346,74.8,74.8,0,10,10.65
-66.32881802079825,45.995658869869914,Port Alfred,ZA,-33.5864065,26.8851448,62.47,62.47,0,88,6.17
-19.352613598794733,-155.3633890115503,Vaitape,PF,-16.5062723,-151.7495305,77.81,77.81,68,100,19.6
-43.04763963085086,139.0242553396924,Portland,AU,45.5230622,-122.6764815,60.89,60.89,0,99,6.51
56.45714064608924,-139.33796725783793,Sitka,US,57.0530556,-135.33,33.28,37.4,90,93,4.7
-15.577350194927831,108.12141415108152,Bambanglipuro,ID,-7.9481229,110.3130087,74.35,74.35,88,96,2.48
-85.25473515117841,143.17657912834613,Hobart,AU,41.5322592,-87.2550353,59,59,0,77,6.93
12.940724890169136,-174.17060001561464,Kapaa,US,22.0881391,-159.3379818,74.5,77,1,78,4.7
-18.79087465596291,73.25458655417324,Grand River South East,MU,-20.2888094,57.78141199999999,,,,,
-46.809238794014306,-71.54902380941095,Coihaique,CL,-45.5712254,-72.068265,52.25,52.25,0,59,9.42
-34.917976589216146,78.949869060362,Bambous Virieux,MU,-20.3438619,57.7636821,77,77,75,83,5.82
-40.90625511294281,-27.25911090092518,Arraial Do Cabo,BR,-22.9657374,-42.02798689999999,83.28,84.2,40,70,27.51
21.620927951719892,-49.588992299721355,Saint-Francois,GP,16.2542635,-61.283115,86,86,92,66,13.87
-67.85886753699583,24.357850792680495,Bredasdorp,ZA,-34.5385222,20.0568771,62.6,62.6,0,67,13.87
-34.32979129712512,-64.1538375823871,Rio Cuarto,AR,-33.1231585,-64.3493441,69.8,69.8,0,28,6.93
55.349239593587754,-115.84685312473172,High Prairie,CA,55.4338723,-116.4877047,26.02,26.02,92,72,6.62
73.64316215950319,-32.90256320770803,Tasiilaq,GL,65.6134561,-37.6335696,15.8,15.8,20,56,4.7
77.02432518102694,159.21867927264833,Cherskiy,RU,68.742677,161.3507839,13.01,13.01,92,88,5.39
